#time Tmin Tmax uniTmin uniTmax Amin Amax Avar
107.5	-0.00569086 0.997998	1 1	0.993951 1.01171	3.88432e-07
108	-0.00566089 0.998283	1 1	0.993978 1.01168	3.89356e-07
108.5	-0.00561974 0.998506	1 1	0.994013 1.01165	3.89697e-07
109	-0.00566864 0.998625	1 1	0.994029 1.01159	3.89973e-07
109.5	-0.00569417 0.998657	1 1	0.99405 1.01153	3.90233e-07
110	-0.00569452 0.998598	1 1	0.994078 1.01146	3.9038e-07
110.5	-0.0056684 0.998422	1 1	0.994022 1.0114	3.89747e-07
111	-0.0056211 0.99818	1 1	0.993971 1.01137	3.88508e-07
111.5	-0.00565874 0.997775	1 1	0.993929 1.01134	3.87206e-07
112	-0.0056898 0.997272	1 1	0.993898 1.01129	3.85986e-07
112.5	-0.00569779 0.996644	1 1	0.993874 1.01124	3.84692e-07
113	-0.00568155 0.996434	1 1	0.99385 1.01117	3.83324e-07
113.5	-0.00564052 0.996721	1 1	0.993829 1.0111	3.8217e-07
114	-0.00563783 0.996929	1 1	0.993828 1.01103	3.81178e-07
114.5	-0.00567859 0.997012	1 1	0.993839 1.011	3.80258e-07
115	-0.00569863 0.996978	1 1	0.993859 1.01096	3.79503e-07
115.5	-0.00569512 0.997011	1 1	0.993878 1.01092	3.79082e-07
116	-0.00566534 0.99729	1 1	0.993894 1.01087	3.78855e-07
116.5	-0.00564542 0.997392	1 1	0.993921 1.01082	3.7827e-07
117	-0.00565537 0.997324	1 1	0.99395 1.01077	3.77715e-07
117.5	-0.00568765 0.997133	1 1	0.993983 1.01071	3.77056e-07
118	-0.00569945 0.996804	1 1	0.994017 1.01065	3.76424e-07
118.5	-0.00568879 0.996747	1 1	0.994049 1.01063	3.75737e-07
119	-0.00565659 0.997482	1 1	0.994082 1.01061	3.74506e-07
119.5	-0.0056576 0.998034	1 1	0.994116 1.01058	3.72871e-07
120	-0.00564735 0.998402	1 1	0.994155 1.01054	3.7108e-07
120.5	-0.00567955 0.99857	1 1	0.994201 1.0105	3.69287e-07
121	-0.00569246 0.998539	1 1	0.994253 1.01044	3.67487e-07
121.5	-0.00568604 0.998325	1 1	0.994313 1.01038	3.65565e-07
122	-0.00565723 0.997874	1 1	0.99437 1.01033	3.63612e-07
122.5	-0.00566765 0.997178	1 1	0.994426 1.01031	3.61511e-07
123	-0.0056622 0.997573	1 1	0.994455 1.01028	3.59349e-07
123.5	-0.00565285 0.997976	1 1	0.994481 1.01025	3.57037e-07
124	-0.00567528 0.998188	1 1	0.994509 1.01022	3.54883e-07
124.5	-0.0056788 0.998177	1 1	0.994539 1.01017	3.52973e-07
125	-0.00566266 0.997971	1 1	0.994578 1.01012	3.50877e-07
125.5	-0.00568558 0.997534	1 1	0.994621 1.01007	3.48798e-07
126	-0.00568864 0.996845	1 1	0.994662 1.01002	3.46822e-07
126.5	-0.00572113 0.996628	1 1	0.994701 1.00998	3.451e-07
127	-0.00573526 0.996962	1 1	0.994741 1.00996	3.43251e-07
127.5	-0.00571836 0.997064	1 1	0.994782 1.00993	3.41502e-07
128	-0.00568676 0.997314	1 1	0.994831 1.0099	3.39534e-07
128.5	-0.00571043 0.997249	1 1	0.994858 1.00986	3.37399e-07
129	-0.0057494 0.996925	1 1	0.994887 1.00982	3.35329e-07
129.5	-0.00581254 0.997473	1 1	0.994914 1.00977	3.33455e-07
130	-0.00584328 0.998085	1 1	0.994942 1.00972	3.31903e-07
130.5	-0.00584024 0.998386	1 1	0.994973 1.00967	3.30344e-07
131	-0.00584056 0.998386	1 1	0.99501 1.00965	3.28746e-07
131.5	-0.0058705 0.998038	1 1	0.995046 1.00963	3.27124e-07
132	-0.00587738 0.99841	1 1	0.995089 1.0096	3.25369e-07
132.5	-0.00587328 0.998837	1 1	0.995128 1.00958	3.23713e-07
133	-0.00591153 0.998913	1 1	0.995169 1.00955	3.22004e-07
133.5	-0.00591455 0.998646	1 1	0.995192 1.00951	3.20376e-07
134	-0.00597266 0.998513	1 1	0.99522 1.00947	3.18721e-07
134.5	-0.00602181 0.998925	1 1	0.995253 1.00943	3.17265e-07
135	-0.00603943 0.998954	1 1	0.995278 1.00939	3.15875e-07
135.5	-0.00602265 0.998573	1 1	0.995305 1.00938	3.14466e-07
136	-0.00598487 0.998675	1 1	0.995337 1.00936	3.12987e-07
136.5	-0.00602921 0.998856	1 1	0.995373 1.00934	3.11478e-07
137	-0.00608284 0.998635	1 1	0.995415 1.00931	3.09845e-07
137.5	-0.00613022 0.998409	1 1	0.995464 1.00928	3.0821e-07
138	-0.00614905 0.998697	1 1	0.995487 1.00925	3.0669e-07
138.5	-0.00617629 0.998558	1 1	0.99551 1.00921	3.05175e-07
139	-0.00621422 0.99834	1 1	0.995539 1.00916	3.03631e-07
139.5	-0.00623365 0.998667	1 1	0.995568 1.00914	3.02181e-07
140	-0.00627869 0.99854	1 1	0.995598 1.00913	3.00804e-07
140.5	-0.00634525 0.998436	1 1	0.995627 1.00911	2.99502e-07
141	-0.00643326 0.998718	1 1	0.995662 1.00908	2.98104e-07
141.5	-0.0064891 0.998554	1 1	0.995701 1.00905	2.9661e-07
142	-0.0065149 0.998533	1 1	0.995741 1.00902	2.95224e-07
142.5	-0.00659595 0.998836	1 1	0.995767 1.00898	2.93842e-07
143	-0.00665749 0.998702	1 1	0.995788 1.00894	2.92532e-07
143.5	-0.00668275 0.998649	1 1	0.995814 1.00891	2.91143e-07
144	-0.00667221 0.999033	1 1	0.995844 1.0089	2.89829e-07
144.5	-0.00675277 0.998991	1 1	0.995878 1.00888	2.88572e-07
145	-0.00680904 0.998528	1 1	0.995907 1.00886	2.87389e-07
145.5	-0.00686074 0.999069	1 1	0.995938 1.00883	2.86194e-07
146	-0.00693614 0.999203	1 1	0.995973 1.0088	2.84911e-07
146.5	-0.0069802 0.998928	1 1	0.996009 1.00877	2.83634e-07
147	-0.00705377 0.998571	1 1	0.996033 1.00873	2.8238e-07
147.5	-0.00711764 0.999005	1 1	0.996056 1.00869	2.81202e-07
148	-0.00714957 0.999064	1 1	0.99608 1.00868	2.80016e-07
148.5	-0.00714804 0.998746	1 1	0.996107 1.00867	2.78868e-07
149	-0.00721444 0.998058	1 1	0.996139 1.00865	2.77744e-07
149.5	-0.00726197 0.998243	1 1	0.996172 1.00862	2.76667e-07
150	-0.00728195 0.998395	1 1	0.996202 1.0086	2.7556e-07
150.5	-0.00729197 0.998225	1 1	0.996237 1.00856	2.74363e-07
151	-0.00738841 0.997725	1 1	0.996261 1.00852	2.73195e-07
151.5	-0.00745321 0.996904	1 1	0.996285 1.00848	2.72082e-07
152	-0.0075353 0.997009	1 1	0.996309 1.00846	2.71034e-07
152.5	-0.007606 0.997565	1 1	0.996332 1.00844	2.69984e-07
153	-0.00764097 0.997844	1 1	0.996359 1.00843	2.69024e-07
153.5	-0.0076575 0.997829	1 1	0.996389 1.0084	2.68133e-07
154	-0.007719 0.997533	1 1	0.996424 1.00838	2.67229e-07
154.5	-0.00774555 0.997057	1 1	0.996457 1.00834	2.66307e-07
155	-0.00774365 0.997799	1 1	0.996465 1.0083	2.65352e-07
155.5	-0.00773903 0.998322	1 1	0.99646 1.00826	2.64465e-07
156	-0.00780062 0.998581	1 1	0.996452 1.00823	2.63674e-07
156.5	-0.00789413 0.998584	1 1	0.996443 1.00821	2.62906e-07
157	-0.00797475 0.998341	1 1	0.996435 1.00819	2.62257e-07
157.5	-0.00805758 0.997868	1 1	0.996427 1.00815	2.61365e-07
158	-0.00810798 0.997309	1 1	0.996422 1.00803	2.59464e-07
158.5	-0.00813191 0.996769	1 1	0.996426 1.00783	2.56293e-07
159	-0.00813807 0.996959	1 1	0.996434 1.00762	2.52538e-07
159.5	-0.00817334 0.997207	1 1	0.996444 1.00743	2.48792e-07
160	-0.00820036 0.997343	1 1	0.996456 1.00721	2.45055e-07
160.5	-0.00821602 0.997448	1 1	0.996467 1.007	2.41588e-07
161	-0.00822102 0.997507	1 1	0.99648 1.00679	2.38474e-07
161.5	-0.00821275 0.997539	1 1	0.996492 1.00665	2.35831e-07
162	-0.00819966 0.997475	1 1	0.996503 1.00652	2.33708e-07
162.5	-0.00822601 0.997349	1 1	0.996514 1.0064	2.32112e-07
163	-0.00823747 0.997141	1 1	0.996523 1.0063	2.31047e-07
163.5	-0.00833129 0.996819	1 1	0.996531 1.00625	2.30415e-07
164	-0.00841375 0.996433	1 1	0.996537 1.00621	2.3016e-07
164.5	-0.00847879 0.996399	1 1	0.996541 1.00616	2.30157e-07
165	-0.00855204 0.99624	1 1	0.996544 1.00612	2.30447e-07
165.5	-0.00860994 0.995945	1 1	0.996546 1.00607	2.30798e-07
166	-0.00864151 0.995996	1 1	0.996549 1.00602	2.30968e-07
166.5	-0.00864855 0.996598	1 1	0.996552 1.00597	2.3094e-07
167	-0.00866693 0.997146	1 1	0.996555 1.00594	2.30993e-07
167.5	-0.00868431 0.997601	1 1	0.996556 1.00594	2.31144e-07
168	-0.00867581 0.997931	1 1	0.996554 1.006	2.31407e-07
168.5	-0.0086424 0.998098	1 1	0.99655 1.00607	2.3166e-07
169	-0.00865562 0.998062	1 1	0.996546 1.00615	2.31859e-07
169.5	-0.00866159 0.997793	1 1	0.996543 1.00623	2.31864e-07
170	-0.00879346 0.997339	1 1	0.996539 1.00628	2.31561e-07
170.5	-0.00889879 0.996714	1 1	0.996537 1.00631	2.31036e-07
171	-0.00897473 0.995965	1 1	0.996536 1.00631	2.30268e-07
171.5	-0.00903913 0.99625	1 1	0.996537 1.00629	2.29291e-07
172	-0.00909035 0.996515	1 1	0.996538 1.00629	2.28181e-07
172.5	-0.0091188 0.996658	1 1	0.996539 1.00626	2.27e-07
173	-0.00912209 0.996639	1 1	0.996539 1.00622	2.25728e-07
173.5	-0.0091204 0.996482	1 1	0.996539 1.00616	2.24389e-07
174	-0.00911995 0.996496	1 1	0.996539 1.00608	2.22939e-07
174.5	-0.00909772 0.996755	1 1	0.996538 1.00599	2.21431e-07
175	-0.0090552 0.996861	1 1	0.996537 1.00588	2.19899e-07
175.5	-0.00904322 0.996839	1 1	0.996537 1.00576	2.18329e-07
176	-0.00900333 0.996668	1 1	0.996537 1.00563	2.1672e-07
176.5	-0.00915322 0.996321	1 1	0.996537 1.00549	2.15069e-07
177	-0.00928772 0.995854	1 1	0.996538 1.00533	2.13417e-07
177.5	-0.00939567 0.996519	1 1	0.996538 1.00517	2.11836e-07
178	-0.00947632 0.997033	1 1	0.996539 1.00499	2.10355e-07
178.5	-0.00953093 0.997395	1 1	0.996539 1.00481	2.08976e-07
179	-0.00957084 0.99759	1 1	0.99654 1.00482	2.07711e-07
179.5	-0.00958445 0.997618	1 1	0.996542 1.00484	2.0664e-07
180	-0.00956952 0.997484	1 1	0.996542 1.00485	2.05692e-07
180.5	-0.00953527 0.997183	1 1	0.996544 1.00486	2.04927e-07
181	-0.00950293 0.996724	1 1	0.996544 1.00486	2.04359e-07
