#time Tmin Tmax uniTmin uniTmax Amin Amax
129	-0.0057494 0.996925	1 1	0.994887 1.00982
129.5	-0.00581254 0.997473	1 1	0.994914 1.00977
130	-0.00584328 0.998085	1 1	0.994942 1.00972
130.5	-0.00584024 0.998386	1 1	0.994973 1.00967
131	-0.00584056 0.998386	1 1	0.99501 1.00965
131.5	-0.0058705 0.998038	1 1	0.995046 1.00963
132	-0.00587738 0.99841	1 1	0.995089 1.0096
132.5	-0.00587328 0.998837	1 1	0.995128 1.00958
133	-0.00591153 0.998913	1 1	0.995169 1.00955
133.5	-0.00591455 0.998646	1 1	0.995192 1.00951
134	-0.00597266 0.998513	1 1	0.99522 1.00947
134.5	-0.00602181 0.998925	1 1	0.995253 1.00943
135	-0.00603943 0.998954	1 1	0.995278 1.00939
135.5	-0.00602265 0.998573	1 1	0.995305 1.00938
136	-0.00598487 0.998675	1 1	0.995337 1.00936
136.5	-0.00602921 0.998856	1 1	0.995373 1.00934
137	-0.00608284 0.998635	1 1	0.995415 1.00931
137.5	-0.00613022 0.998409	1 1	0.995464 1.00928
138	-0.00614905 0.998697	1 1	0.995487 1.00925
138.5	-0.00617629 0.998558	1 1	0.99551 1.00921
139	-0.00621422 0.99834	1 1	0.995539 1.00916
139.5	-0.00623365 0.998667	1 1	0.995568 1.00914
140	-0.00627869 0.99854	1 1	0.995598 1.00913
140.5	-0.00634525 0.998436	1 1	0.995627 1.00911
141	-0.00643326 0.998718	1 1	0.995662 1.00908
141.5	-0.0064891 0.998554	1 1	0.995701 1.00905
142	-0.0065149 0.998533	1 1	0.995741 1.00902
142.5	-0.00659595 0.998836	1 1	0.995767 1.00898
143	-0.00665749 0.998702	1 1	0.995788 1.00894
143.5	-0.00668275 0.998649	1 1	0.995814 1.00891
144	-0.00667221 0.999033	1 1	0.995844 1.0089
144.5	-0.00675277 0.998991	1 1	0.995878 1.00888
145	-0.00680904 0.998528	1 1	0.995907 1.00886
