#time Tmin Tmax uniTmin uniTmax Amin Amax
125	-0.00565931 0.998115	0.996903 1.00596	1 1
125.5	-0.00568674 0.997683	0.99688 1.00582	1 1
126	-0.00569866 0.997006	0.99688 1.00564	1 1
126.5	-0.00571749 0.996619	0.996881 1.0055	1 1
127	-0.00573895 0.996964	0.996901 1.00532	1 1
127.5	-0.00573037 0.997083	0.996873 1.00526	1 1
128	-0.00569148 0.997333	0.996783 1.00527	1 1
128.5	-0.00571009 0.997271	0.996715 1.00524	1 1
129	-0.00573527 0.996947	0.99666 1.00517	1 1
129.5	-0.00580676 0.997397	0.996614 1.0051	1 1
130	-0.00584572 0.998005	0.996571 1.00502	1 1
130.5	-0.0058527 0.998299	0.996523 1.0049	1 1
131	-0.00583121 0.998289	0.996481 1.00478	1 1
131.5	-0.00586696 0.997936	0.996453 1.00466	1 1
132	-0.00588226 0.998258	0.996444 1.0045	1 1
132.5	-0.00586865 0.998668	0.996353 1.00431	1 1
133	-0.00591399 0.998722	0.996273 1.00409	1 1
133.5	-0.00592828 0.998429	0.996203 1.00414	1 1
134	-0.00596225 0.998297	0.996152 1.00418	1 1
134.5	-0.00601972 0.998676	0.996108 1.00417	1 1
135	-0.00604615 0.998666	0.99608 1.00413	1 1
135.5	-0.00603935 0.998247	0.996058 1.00406	1 1
136	-0.00599979 0.998386	0.996043 1.00401	1 1
136.5	-0.00602198 0.998519	0.996044 1.00393	1 1
137	-0.00607577 0.998242	0.99606 1.00383	1 1
137.5	-0.00613289 0.998107	0.996091 1.0038	1 1
138	-0.00616034 0.998325	0.996129 1.00383	1 1
138.5	-0.00620484 0.998122	0.996184 1.00383	1 1
139	-0.00623954 0.998028	0.996239 1.00384	1 1
139.5	-0.00624811 0.99828	0.9963 1.00385	1 1
140	-0.00630603 0.998065	0.996363 1.00382	1 1
140.5	-0.00637984 0.998131	0.996418 1.00379	1 1
141	-0.00646303 0.998319	0.996415 1.00378	1 1
141.5	-0.0065145 0.998069	0.996411 1.00375	1 1
142	-0.00653985 0.998262	0.996357 1.0037	1 1
142.5	-0.00662653 0.998463	0.996317 1.00365	1 1
143	-0.00668392 0.99822	0.996291 1.00364	1 1
143.5	-0.00670452 0.998448	0.996284 1.00362	1 1
144	-0.00669832 0.998719	0.996289 1.00362	1 1
144.5	-0.00678197 0.998566	0.996305 1.00365	1 1
145	-0.00683554 0.998443	0.996332 1.00364	1 1
145.5	-0.00689279 0.998874	0.996366 1.00362	1 1
146	-0.00696356 0.998894	0.996404 1.00361	1 1
146.5	-0.00700197 0.998508	0.996437 1.00361	1 1
147	-0.00708529 0.998547	0.996445 1.00359	1 1
147.5	-0.00714501 0.998871	0.996465 1.00355	1 1
148	-0.00717224 0.998822	0.996491 1.00353	1 1
148.5	-0.00717526 0.998394	0.996525 1.00352	1 1
149	-0.00724364 0.99785	0.99657 1.0035	1 1
149.5	-0.00728971 0.998255	0.996618 1.00347	1 1
150	-0.0073058 0.998297	0.996652 1.00349	1 1
150.5	-0.00732848 0.998033	0.99667 1.00349	1 1
151	-0.00742005 0.997424	0.996691 1.00347	1 1
151.5	-0.00747955 0.996507	0.996704 1.00348	1 1
152	-0.00757018 0.997128	0.996693 1.00349	1 1
152.5	-0.00763581 0.997604	0.996686 1.00347	1 1
